"hco_id","star_hco_id","hco_name","hco_desc","hco_type_name","cnty_name","adrs_line_1","adrs_line_2","stts_ind","sub_clsfctn_name","clsfctn_name","cnt_bed","cnt_lcnsd_asst_dctr","createduser","createddate","modifieduser","modifieddate","isdeleted","versionnumber","hco_stts_name","merged_date","city_name","frmt_adrs","rcrd_state_name","hco_englsh_name","hco_cd","hco_type_cd","cnty_cd","city_cd","phone_1","phone_2","url","pstl","hco_stts_cd","merged_to","vn_entity_id","adrs_status","sub_clsfctn_cd","clsfctn_cd","parent_hco_v_id","rcrd_state_cd","prvnc_cd","prvnc_name"
1070920,NULL,"江北区人民医院",NULL,"医院_综合医院",NULL,NULL,NULL,1,"二级综合医院","医院",110,48,"Veeva Init","2015-01-16 18:57:29","Veeva Update","2021-08-31 07:02:04",False,NULL,"有效",NULL,NULL,"023-67562595","有效","Jiang Bei Qu Ren Min Yi Yuan","CN-1070920HCO","1_22",NULL,NULL,"023-88519100",NULL,"http://www.cqhhyy.com",NULL,"A","","347525231658767361","I","H675","C016",NULL,"VALID","CN-CQ","重庆"
1076632,NULL,"广州嘉信门诊部",NULL,"基层医疗卫生机构_诊所（医务室）",NULL,NULL,NULL,1,"未知","医院",NULL,NULL,"Veeva Init","2016-03-20 05:53:24","Veeva Update","2020-04-20 07:03:47",False,NULL,"有效",NULL,NULL,"020-81589297","有效","GUANG ZHOU JIA XIN MEN ZHEN BU ","CN-1076632HCO","3_4",NULL,NULL,"020-81589297",NULL,"http://www.gzjxmz.com/",NULL,"A","","347533576218186752","I","H441","C016",NULL,"VALID","CN-GD","广东省"
1062972,NULL,"辽宁省健康产业集团抚矿西露天医院","抚顺市矿务局西露天矿职工医院","医院_综合医院",NULL,NULL,NULL,1,"二级综合医院","医院",120,47,"Veeva Init","2015-01-16 18:57:55","Veeva Update","2020-12-09 07:02:45",False,NULL,"有效",NULL,NULL,"0413-2542847","有效","Liao Ning Sheng Jian Kang Chan Ye Ji Tuan Fu Kuang Xi Lu Tian Yi Yuan","CN-1062972HCO","1_22",NULL,NULL,"024-52540669","024-56506844","http://www.xltyy.com/",NULL,"A","","347525197517132801","I","H675","C016",NULL,"VALID","CN-LN","辽宁省"
1068021,NULL,"陕西省第四人民医院",NULL,"医院_综合医院",NULL,NULL,NULL,1,"未知","医院",1000,NULL,"Veeva Init","2015-01-16 18:57:39","Veeva Update","2021-08-18 07:02:22",False,NULL,"有效",NULL,NULL,"029-83243806","有效","Shan Xi Sheng Di Si Ren Min Yi Yuan","CN-1068021HCO","1_22",NULL,NULL,"029-83225120",NULL,"http://www.sxdsyy.com/",NULL,"A","","347525185370428416","I","H441","C016",NULL,"VALID","CN-SN",NULL
1063309,NULL,"巴彦县人民医院",NULL,"医院_综合医院",NULL,NULL,NULL,1,"二级综合医院","医院",214,111,"Veeva Init","2015-01-16 18:58:04","Veeva Update","2021-08-18 07:02:22",False,NULL,"有效",NULL,NULL,"0451-57522758","有效","Ba Yan Xian Ren Min Yi Yuan","CN-1063309HCO","1_22",NULL,NULL,"0451-57516727",NULL,"http://www.chinapharm.com.cn/html/database/gnyyxx/08/LPJ01172601102005SKI.html",NULL,"A","","347525284934816768","I","H675","C016",NULL,"VALID","CN-HL",NULL
1063370,NULL,"哈尔滨市胸科医院",NULL,"医院_胸科医院",NULL,NULL,NULL,1,"未知","医院",647,79,"Veeva Init","2015-01-16 18:55:12","Veeva Update","2021-08-20 07:02:23",False,NULL,"有效",NULL,NULL,"0451-55604000","有效","Ha Er Bin Shi Xiong Ke Yi Yuan","CN-1063370HCO","1_13",NULL,NULL,"0451-55604000",NULL,"http://www.hrbxkyy.com/",NULL,"A","","347525204118967296","I","H441","C016",NULL,"VALID","CN-HL",NULL
1063696,NULL,"南京军区总医院","南京军区南京总医院","其他机构",NULL,NULL,NULL,0,"未知","医院",1800,NULL,"Veeva Init","2015-01-16 18:55:13","Veeva Update","2021-09-02 07:02:06",False,NULL,"不活动","2016-08-23 08:00:00",NULL,"025-80860114","已合并至其他记录","Nan Jing Jun Qu Zong Yi Yuan","CN-1063696HCO","6",NULL,NULL,"025-80860114","025-80860144","http://www.njzy666.com/index.jsp",NULL,"I","347531963625739268","347524551661425664","I","H441","C016",NULL,"MERGED_INTO","CN-JS","江苏省"
1068092,NULL,"神木市医院","榆林市神木县医院","医院_综合医院",NULL,NULL,NULL,1,"三级综合医院","医院",210,119,"Veeva Init","2015-01-16 18:57:59","Veeva Update","2021-08-31 07:02:14",False,NULL,"有效",NULL,NULL,"0912-8320276","有效","Shen Mu Shi Yi Yuan","CN-1068092HCO","1_22",NULL,NULL,"0912-8322033",NULL,"http://www.smshos.com/",NULL,"A","","347532139123807234","I","H676","C016",NULL,"VALID","CN-SN",NULL
1068114,NULL,"兰大第一医院","兰大一院","医院_综合医院",NULL,NULL,NULL,0,"三级综合医院","医院",1200,425,"Veeva Init","2015-01-16 18:54:15","Veeva Update","2021-05-19 07:03:09",False,NULL,"不活动","2018-04-20 08:00:00",NULL,"0931-8625200","已合并至其他记录","Lan Da Di Yi Yi Yuan","CN-1068114HCO","1_22",NULL,NULL,"0931-8625200",NULL,"http://www.lzdxdyyy.com/",NULL,"I","347530168522347526","347525197500355585","I","H676","C016",NULL,"MERGED_INTO","CN-GS","甘肃省"
1068148,NULL,"敦煌市医院",NULL,"医院_综合医院",NULL,NULL,NULL,1,"二级综合医院","医院",400,61,"Veeva Init","2015-01-16 18:55:17","Veeva Update","2021-08-27 07:02:20",False,NULL,"有效",NULL,NULL,"0937-8822137","有效","Dun Huang Shi Yi Yuan","CN-1068148HCO","1_22",NULL,NULL,"0937-8859081",NULL,"http://www.dhsyyw.com/",NULL,"A","","347525143284782081","I","H675","C016",NULL,"VALID","CN-GS","甘肃省"
